Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4333,1732,456,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4714,1972,546,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4876,2185,613,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4914,2272,641,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,642,248,31,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1565,508,85,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3037,765,189,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4133,1181,368,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4689,1537,489,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5008,1997,629,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A5_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5021,2073,619,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1023,575,111,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2608,1061,251,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3724,1397,392,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4272,1647,448,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4501,1795,505,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4575,1960,519,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4449,1990,510,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,799,515,68,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2411,1009,230,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3604,1322,339,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4177,1568,451,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4373,1719,491,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4547,2003,563,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4506,2105,565,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1010,388,69,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2700,876,235,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3998,1395,460,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4412,1781,593,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4660,2186,704,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4824,2471,776,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A6_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4800,2560,787,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,660,200,8,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2063,421,65,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3803,673,168,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4628,950,285,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5051,1258,382,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5246,1360,441,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5280,1361,447,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,855,337,34,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2438,580,114,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3865,800,238,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4551,1076,329,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4905,1284,428,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5050,1438,485,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5103,1432,470,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1278,329,42,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2885,617,130,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,4080,846,241,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4700,1086,336,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5014,1271,410,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5137,1287,423,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A8_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5211,1233,403,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
