Genotype,Animal,Normalized distance from pia (%),Synapse Counts
CKO, AB7931,88.0,5.666666666666667
CKO, AB7931,90.0,4.333333333333333
CKO, AB7931,92.0,4.0
CKO, AB7931,94.0,5.0
CKO, AB7931,96.0,2.0
CKO, AB7931,98.0,1.6666666666666667
CKO, AB7932,2.0,0.3333333333333333
CKO, AB7932,4.0,0.6666666666666666
CKO, AB7932,6.0,2.3333333333333335
CKO, AB7932,8.0,2.3333333333333335
CKO, AB7932,10.0,2.6666666666666665
CKO, AB7932,12.0,6.333333333333333
CKO, AB7932,14.0,5.333333333333333
CKO, AB7932,16.0,9.666666666666666
CKO, AB7932,18.0,16.0
CKO, AB7932,20.0,24.333333333333332
CKO, AB7932,22.0,19.333333333333332
CKO, AB7932,24.0,23.333333333333332
CKO, AB7932,26.0,20.666666666666668
CKO, AB7932,28.0,14.333333333333334
CKO, AB7932,30.0,14.333333333333334
CKO, AB7932,32.0,9.666666666666666
CKO, AB7932,34.0,12.333333333333334
CKO, AB7932,36.0,10.333333333333334
CKO, AB7932,38.0,10.0
CKO, AB7932,40.0,9.666666666666666
CKO, AB7932,42.0,5.0
CKO, AB7932,44.0,10.333333333333334
CKO, AB7932,46.0,15.0
CKO, AB7932,48.0,8.0
CKO, AB7932,50.0,11.0
CKO, AB7932,52.0,11.666666666666666
CKO, AB7932,54.0,6.333333333333333
CKO, AB7932,56.0,5.666666666666667
CKO, AB7932,58.0,4.333333333333333
CKO, AB7932,60.0,7.333333333333333
CKO, AB7932,62.0,7.666666666666667
CKO, AB7932,64.0,2.6666666666666665
CKO, AB7932,66.0,6.333333333333333
CKO, AB7932,68.0,8.333333333333334
CKO, AB7932,70.0,4.666666666666667
CKO, AB7932,72.0,7.666666666666667
CKO, AB7932,74.0,7.666666666666667
CKO, AB7932,76.0,9.0
CKO, AB7932,78.0,8.333333333333334
CKO, AB7932,80.0,8.0
CKO, AB7932,82.0,7.666666666666667
CKO, AB7932,84.0,2.6666666666666665
CKO, AB7932,86.0,0.3333333333333333
CKO, AB7932,88.0,8.0
CKO, AB7932,90.0,4.666666666666667
CKO, AB7932,92.0,5.333333333333333
CKO, AB7932,94.0,2.6666666666666665
